2025-11-28 00:21:22 | INFO     | src.api.webhooks:255 | Received issue_comment event (delivery: 13d15fb0-cc1a-11f0-9fb3-5da0b8426d30)
2025-11-28 00:21:22 | INFO     | src.api.webhooks:318 | /InspectAI review command detected on hj2713/2020-Coding-Challenge#1 by comse6998-inspectai[bot]
2025-11-28 00:21:22 | INFO     | src.api.webhooks:167 | Handling /InspectAI review command for hj2713/2020-Coding-Challenge#1 by comse6998-inspectai[bot]
2025-11-28 00:21:22 | INFO     | src.api.webhooks:173 | Using GitHub App installation token for installation 96944994
2025-11-28 00:21:22 | INFO     | src.github.client:551 | Posting comment on PR #1
2025-11-28 00:21:23 | INFO     | src.api.webhooks:207 | Successfully posted Hello World comment on hj2713/2020-Coding-Challenge#1
2025-11-28 00:21:25 | WARNING  | src.api.webhooks:242 | Webhook signature verification SKIPPED - no secret configured
2025-11-28 00:21:25 | INFO     | src.api.webhooks:255 | Received issue_comment event (delivery: 15037710-cc1a-11f0-80a0-f2746e362245)
2025-11-28 00:21:25 | INFO     | src.api.webhooks:318 | /InspectAI review command detected on hj2713/2020-Coding-Challenge#1 by comse6998-inspectai[bot]
2025-11-28 00:21:25 | INFO     | src.api.webhooks:167 | Handling /InspectAI review command for hj2713/2020-Coding-Challenge#1 by comse6998-inspectai[bot]
2025-11-28 00:21:25 | INFO     | src.api.webhooks:173 | Using GitHub App installation token for installation 96944994
2025-11-28 00:21:25 | INFO     | src.github.client:551 | Posting comment on PR #1
2025-11-28 00:21:25 | INFO     | src.api.webhooks:207 | Successfully posted Hello World comment on hj2713/2020-Coding-Challenge#1
2025-11-28 00:21:26 | WARNING  | src.api.webhooks:242 | Webhook signature verification SKIPPED - no secret configured
2025-11-28 00:21:26 | INFO     | src.api.webhooks:255 | Received issue_comment event (delivery: 1627d2d0-cc1a-11f0-9913-54b81f8774e8)
2025-11-28 00:21:26 | INFO     | src.api.webhooks:318 | /InspectAI review command detected on hj2713/2020-Coding-Challenge#1 by comse6998-inspectai[bot]
2025-11-28 00:21:26 | INFO     | src.api.webhooks:167 | Handling /InspectAI review command for hj2713/2020-Coding-Challenge#1 by comse6998-inspectai[bot]
2025-11-28 00:21:26 | INFO     | src.api.webhooks:173 | Using GitHub App installation token for installation 96944994
2025-11-28 00:21:26 | INFO     | src.github.client:551 | Posting comment on PR #1
2025-11-28 00:21:27 | INFO     | src.api.webhooks:207 | Successfully posted Hello World comment on hj2713/2020-Coding-Challenge#1
2025-11-28 00:21:28 | WARNING  | src.api.webhooks:242 | Webhook signature verification SKIPPED - no secret configured
2025-11-28 00:21:28 | INFO     | src.api.webhooks:255 | Received issue_comment event (delivery: 173a2d30-cc1a-11f0-81e8-372ff83643f9)
2025-11-28 00:21:28 | INFO     | src.api.webhooks:318 | /InspectAI review command detected on hj2713/2020-Coding-Challenge#1 by comse6998-inspectai[bot]
